"gene","inheritance"
"","AD"
"","AD"
"ISG15","AR"
"AGRN","AR"
"TNFRSF4","AR"
"B3GALT6","AR"
"DVL1","AD"
"VWA1","AR"
"ATAD3A","AD"
"TMEM240","AD"
"GNB1","AD"
"GABRD","AD"
"SKI","AD"
"","AD"
"","AR"
"PEX10","AR"
"PRDM16","AD"
"TP73","AR"
"SMIM1","AR"
"CEP104","AR"
"","AR"
"NPHP4","AR"
"ESPN","AR"
"PLEKHG5","AR"
"CAMTA1","AD"
"PER3","AD"
"PARK7","AR"
"SLC45A1","AR"
"RERE","AD"
"H6PD","AR"
"PIK3CD","AD"
"NMNAT1","AR"
"KIF1B","AD"
"PEX14","AR"
"TARDBP","AD"
"MASP2","AR"
"MTOR","AD"
"UBIAD1","AD"
"MAD2L2","AR"
"MTHFR","AD"
"CLCN6","AD"
"NPPA","AD"
"PLOD1","AR"
"MFN2","AD"
"VPS13D","AR"
"","AR"
"","AD"
"CTRC","AD"
"CELA2A","AD"
"SPEN","AD"
"","AD"
"","AD"
"CLCNKB","AR"
"EPHA2","AD"
"ATP13A2","AR"
"SDHB","AD"
"PADI3","AR"
"PADI6","AR"
"PAX7","AR"
"ALDH4A1","AR"
"EMC1","AR"
"PLA2G2A","AD"
"PLA2G5","AR"
"PINK1","AR"
"DDOST","AR"
"ECE1","AD"
"ALPL","AD"
"HSPG2","AR"
"CDC42","AD"
"WNT4","AD"
"C1QA","AR"
"C1QC","AR"
"C1QB","AR"
"EPHB2","AR"
"KDM1A","AD"
"","AD"
"","AD"
"","AD"
"RPL11","AD"
"GALE","AR"
"HMGCL","AR"
"FUCA1","AR"
"GRHL3","AD"
"LDLRAP1","AR"
"SELENON","AD"
"SLC30A2","AD"
"DHDDS","AD"
"ARID1A","AD"
"PIGV","AR"
"NR0B2","AD"
"KDF1","AD"
"SLC9A1","AR"
"TMEM222","AR"
"FCN3","AR"
"AHDC1","AD"
"EPB41","AD"
"MECR","AR"
"SDC3","AD"
"PUM1","AD"
"CCDC28B","AR"
"LCK","AR"
"","AD"
"YARS1","AD"
"HPCA","AR"
"AK2","AR"
"GJB4","AD"
"GJB3","AD"
"NCDN","AD"
"ADPRS","AR"
"COL8A2","AD"
"CSF3R","AR"
"SNIP1","AR"
"RSPO1","AR"
"MACF1","AD"
"TRIT1","AR"
"MFSD2A","AR"
